pid,Appliance_Type,Brand,kWh.yr,EER_Energy_Efficiency_Ratio,SEER_Seasonal_Energy_Efficiency_Ratio,Cooling_Capacity_BTUs,Energy_Star,Size,Product_Width_.in..,Product_Depth_.in..,Product_Height_.in..,Product_Volume_.cu._in..
04238880000P,Water Softeners,Kenmore,-,-,-,-,-,17 in. W x 21 in. D x 48 in. H,17,21,48,17136
04202141000P,Window Air Conditioners,Haier,950,9.5,-,12000,Yes,14.2 in. W x 23.2 in. D x 20.25 in. H,14.2,23.2,20.25,6671.16
04202044000P,Air Purifiers & Dehumidifiers,DeLONGHI,-,-,-,-,Yes,-,-,-,-,-
04209404000P,Portable Air Conditioners,Royal Sovereign,1100,9.09,-,13000,No,16.3 in. W x 11.5 in. D x 28.4 in. H,16.3,11.5,28.4,5323.58
04201105000P,Window Air Conditioners,LG,1762,9.4,-,10000,Yes,29.25 in. W x 31.25 in. D x 20.5 in. H,29.25,31.25,20.5,18738.28125
04201042000P,Window Air Conditioners,Frigidaire,836,10.8,-,8000,No,19 in. W x 19.75 in. D x 14.4 in. H,19,19.75,14.4,5403.6
04234028000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04201098000P,Portable Air Conditioners,Haier,9000,9.5,-,7000,No,27 in. W x 28 in. D x 17.5 in. H,27,28,17.5,13230
04273185000P,Window Air Conditioners,Kenmore,1297.5,10.7,-,18500,Yes,20.094 in. W x 17.625 in. D x 13.875 in. H,20.094,17.625,13.875,4913.924906
04201041000P,Window Air Conditioners,Frigidaire,0,10.8,-,6000,No,19.56 in. W x 19.38 in. D x 12.38 in. H,19.56,19.38,12.38,4692.921264
04238476000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04294294000P,Portable Air Conditioners,Haier,na,9.5,-,11000,No,17.75 in. W x 15.25 in. D x 29.43 in. H,17.75,15.25,29.43,7966.333125
04238572000P,Accessories,Kenmore,-,-,-,-,-,-,-,-,-,-
04239356000P,Water Softeners,Kenmore,-,-,-,-,-,-,-,-,-,-
04238461000P,Water Coolers & Filter Systems,Kenmore,-,-,-,-,-,-,-,-,-,-
04247563000P,Accessories,Culligan,-,-,-,-,-,-,-,-,-,-
04238817000P,Water Softeners,Kenmore,-,-,-,-,-,16.5 in. W x 19.5 in. D x 46 in. H,16.5,19.5,46,14800.5
04202043000P,Air Purifiers & Dehumidifiers,DeLONGHI,-,-,-,-,Yes,-,-,-,-,-
04298197000P,Window Air Conditioners,Frigidaire,608,9.8,-,8000,No,18.5 in. W x 15.7 in. D x 13.4 in. H,18.5,15.7,13.4,3892.03
04234427000P,Water Softeners,Kenmore,-,-,-,-,-,-,-,-,-,-
